date,price,open,high,low,volume,change_daily,id
2024-12-27,5760,5807,5823,5733,,,202
2024-12-28,5760,5760,5773,5724,,0.00,201
2024-12-29,5750,5770,5773,5726,,-0.17,200
2024-12-30,5800,5746,5805,5741,,0.87,199
2024-12-31,5745,5802,5808,5734,,-0.95,198
2025-01-01,5801,5753,5807,5725,,0.97,197
2025-01-02,5841,5799,5847,5781,,0.69,196
2025-01-03,5829,5836,5844,5812,,-0.21,195
2025-01-04,5860,5831,5868,5816,,0.53,194
2025-01-05,5908,5855,5919,5850,,0.82,193
2025-01-06,5863,5914,5916,5850,,-0.76,192
2025-01-07,5887,5861,5893,5853,,0.41,191
2025-01-08,5887,5883,5927,5871,,0.00,190
2025-01-09,5906,5888,5916,5876,,0.32,189
2025-01-10,5896,5912,5916,5865,,-0.17,188
2025-01-11,5893,5901,5904,5861,,-0.05,187
2025-01-12,5838,5887,5894,5801,,-0.93,186
2025-01-13,5849,5844,5870,5823,,0.19,185
2025-01-14,5846,5853,5901,5835,,-0.05,184
2025-01-15,5862,5857,5885,5857,,0.27,183
2025-01-16,5871,5867,5884,5838,,0.15,182
2025-01-17,5852,5883,5893,5840,,-0.32,181
2025-01-18,5739,5840,5844,5733,,-1.93,180
2025-01-19,5758,5742,5804,5733,,0.33,179
2025-01-20,5743,5742,5777,5724,,-0.26,178
2025-01-21,5812,5752,5823,5735,,1.20,177
2025-01-22,5958,5820,5967,5815,,2.51,176
2025-01-23,6004,5964,6013,5951,,0.77,175
2025-01-24,6025,6008,6041,5990,,0.35,174
2025-01-25,6032,6030,6053,6014,,0.12,173
2025-01-26,6013,6029,6037,5987,,-0.31,172
2025-01-27,6016,6012,6035,5992,,0.05,171
2025-01-28,5978,6018,6025,5964,,-0.63,170
2025-01-29,5897,5972,5974,5877,,-1.35,169
2025-01-30,5920,5900,5933,5887,,0.39,168
2025-01-31,5939,5919,5948,5855,,0.32,167
2025-02-01,5938,5938,5958,5880,,-0.02,166
2025-02-02,5971,5937,5985,5905,,0.56,165
2025-02-03,5987,5967,5994,5941,,0.27,164
2025-02-04,6007,6006,6040,5983,,0.33,163
2025-02-05,6038,6013,6044,5976,,0.52,162
2025-02-06,6015,6042,6047,6000,,-0.38,161
2025-02-07,6052,6015,6060,6015,,0.62,160
2025-02-08,6062,6052,6069,6036,,0.17,159
2025-02-09,6063,6064,6071,6048,,0.02,158
2025-02-10,6099,6067,6102,6063,,0.59,157
2025-02-11,6089,6095,6107,6082,,-0.16,156
2025-02-12,6099,6086,6111,6076,,0.16,155
2025-02-13,6066,6096,6106,6060,,-0.54,154
2025-02-14,6046,6065,6075,6040,,-0.33,153
2025-02-15,6093,6053,6103,6046,,0.78,152
2025-02-16,6061,6088,6088,6056,,-0.53,151
2025-02-17,6056,6065,6085,6041,,-0.08,150
2025-02-18,6081,6056,6091,6052,,0.41,149
2025-02-19,6054,6077,6079,6041,,-0.44,148
2025-02-20,5872,6054,6075,5840,,-3.01,147
2025-02-21,5869,5882,5938,5866,,-0.05,146
2025-02-22,5840,5880,5880,5801,,-0.49,145
2025-02-23,6036,6002,6043,5965,,3.36,144
2025-02-24,6098,6038,6100,6030,,1.03,143
2025-02-25,6095,6099,6108,6063,,-0.05,142
2025-02-26,6027,6092,6095,5983,,-1.12,141
2025-02-27,5959,6029,6036,5918,,-1.13,140
2025-02-28,5936,5955,5983,5917,,-0.39,139
2025-03-01,5917,5949,5995,5875,,-0.32,138
2025-03-02,5990,5921,5997,5911,,1.23,137
2025-03-03,6021,5995,6068,5981,,0.52,136
2025-03-04,5954,6028,6046,5935,,-1.11,135
2025-03-05,5959,5956,5975,5917,,0.08,134
2025-03-06,5945,5955,5957,5929,1138300,-0.23,133
2025-03-07,5866,5944,5959,5845,21300000,-1.33,132
2025-03-08,5875,5865,5883,5809,17600000,0.15,131
2025-03-09,5882,5887,5919,5843,18400000,0.12,130
2025-03-10,5989,5892,6001,5880,16600000,1.82,129
2025-03-11,5976,5989,6018,5962,15700000,-0.22,128
2025-03-12,6034,5970,6052,5968,14200000,0.97,127
2025-03-13,6084,6032,6093,5995,17300000,0.83,126
2025-03-14,6121,6094,6136,6087,12500000,0.61,125
2025-03-15,6152,6120,6154,6102,11400000,0.51,124
2025-03-16,6133,6148,6162,6122,12500000,-0.31,123
2025-03-17,6047,6102,6105,5948,23900000,-1.40,122
2025-03-18,6097,6060,6106,6024,15900000,0.83,121
2025-03-19,6068,6091,6112,6042,15500000,-0.48,120
2025-03-20,6099,6069,6116,6057,16100000,0.51,119
2025-03-21,6067,6106,6148,6058,18700000,-0.52,118
2025-03-22,6022,5982,6062,5936,23100000,-0.74,117
2025-03-23,6063,6069,6069,5987,13300000,0.68,116
2025-03-24,6087,6043,6092,6020,12200000,0.40,115
